ref_or_group	tip_sha	candidate_commit_or_group	status	evidence	basis
refs/heads/refactor/428-integration-20260907;refs/remotes/origin/refactor/428-integration-20260907	afe20dfd9f813eb217f78b63de517c7e8e52e8b7	90ef7087,d554492d,b82b5890,0cecbcc4,542a291a	integrated-now;superseded-by-current-code	492cca5f,94ae91b6,b1c37508,53603b0;26979976	three safe refactors integrated; TOML helper superseded by shared codex-config helper; URL-validation removal rejected because current security validation remains required
refs/heads/refactor/428-worker-a-cli-20260907	3aa353bc06353054bdbd46f3d4a4844d56081f0a	3aa353bc	patch-equivalent	ad03717b5310880658931bdc2a2266680c4c80e1	git patch-id/cherry
refs/heads/refactor/428-worker-b-logs-20260907	96acc79a44fc6b4746060fd72a173cb550d0b107	96acc79a	patch-equivalent	e63099af6cc052e77e48beff839356b74f6f6a4e	git patch-id/cherry
refs/heads/refactor/428-worker-c-ci-20260907	25cd94686b897bc8d1ee8f3dee67de611471b78c	25cd9468	patch-equivalent	39b7be6136061b8aac1d286b0bfde3691103de7c	git patch-id/cherry
refs/heads/refactor/428-worker-d-gateway-20260907	474b754b01a93eb1ff976cbe204831feb0e13e80	474b754b	integrated-now	94ae91b6	duplicate patch of d554492d; cherry-picked once
refs/heads/refactor/428-worker-e-expose-20260907	167e8424439691fe1bcbe53651a0b75662857f38	167e8424	integrated-now	b1c37508	duplicate patch of b82b5890; cherry-picked once
refs/heads/refactor/428-worker-f-controlplane-20260907	a31d01f5910df45beb0e9e981a55bb2a985040b8	a31d01f5	integrated-now	492cca5f	duplicate patch of 90ef7087; cherry-picked once
refs/heads/refactor/428-worker-g-runtime-config-20260907	0cecbcc44df55f90094b51082879172fa14a8945	0cecbcc4,fd08ce75	superseded-by-current-code	53603b0	current main uses prodex-codex-config::codex_config_file_toml_value
refs/heads/refactor/428-worker-h-dispatch-audit-20260907	556814faa623b715833fd63c2ac7043bd092ef8f	90ef7087,d554492d,b82b5890,556814fa	integrated-now	492cca5f,94ae91b6,b1c37508;0237acaa	safe code integrated; CI fixture equivalent already current
refs/heads/refactor/428-worker-i-super-validation-20260907	24482baa14a696d9fa710b44a0bc34528d0b7410	24482baa,542a291a	superseded-by-current-code	26979976	URL validation is retained by security hardening and must not be removed
refs/heads/refactor/mojo-kiss	a634a9247ba6060c248b4cc208696aac4878b667	all reachable commits	ancestor	2647fb5dfad20c557122e40f6b868278a527d3f3	merge-base equals tip
refs/heads/refactor/successor-integration-20260908;refs/remotes/origin/refactor/parallel-integration-20260908	40f71214b0afb0ee1a78ee44af92931a60ad2904	successor refactor wave	integrated-now;superseded-by-current-code	final main plus selected integration SHAs below	branch contains duplicate/reverted history; no whole-branch merge because it deletes protected release/security/active feature paths
refs/remotes/origin/refactor/lean-campaign-20260908-core	a32b107df02d9b5b503b8d545a4fb24b7754e997	b8064149 and wave history	superseded-by-current-code	f07827a1;53603b0;4e8a0378	catalog/TOML/alias intents are represented by evolved current implementations
refs/remotes/origin/worker/refactor-cli-wave6-20260908	d9ab67d7147ecb4f37e76640f54c68b4ca5e64b2	d9ab67d7	integrated-now	bbc53255	shared rewrite helper
refs/remotes/origin/worker/refactor-general-20260908	16eb68309204cfe11447131aeb5220030d7cfc19	2b0bb24,d5f94dd	integrated-now	0a63d4c8	shared root temp-file naming; branch also has non-refactor repair commits
refs/remotes/origin/worker/refactor-general-b2-20260908	293b2f8405a4eaa6383f4af96c55c192dd6e218e	293b2f84	patch-equivalent	b1537e3c9f25458fdedc17f46d5bc5d0c6eeedf7	git patch-id
refs/remotes/origin/worker/refactor-runtime-policy-wave5-20260908	696ab0befdb0b5246f49cc87b454aef3b3ac02eb	696ab0be	integrated-now	3656557b	shared exact-identifier predicate
refs/remotes/origin/worker/refactor-session-store-wave6-20260908	bce0f1d5d0b445969b21e67c7b9269d1bb8e72db	bce0f1d5	integrated-now	15129d50	shared session-id extraction
refs/heads/worker/lean-B0-003-20260908;refs/remotes/origin/worker/lean-B0-003-20260908	3d7557235d00c525dc47b5e633a2c31e5aec4845	3d755723,33bc6795	integrated-now	58740493	duplicate validated-idempotency refactor
refs/heads/worker/lean-B0-009-20260908;refs/remotes/origin/worker/lean-B0-009-20260908	a35b261cb03c048ccc157f70651b4e6aaf28fc74	a35b261	integrated-now	d900e5bb	dead audit requirement API has no remaining repository callers
refs/heads/worker/lean-B0-011-20260908;refs/remotes/origin/worker/lean-B0-011-20260908	9f6631bc4c5df22fc921442d850f8b0df5143798	9f6631bc	integrated-now	5f781924	dead policy audit API has no remaining repository callers
refs/heads/worker/lean-B0-011-private-20260908;refs/remotes/origin/worker/lean-B0-011-private-20260908	c92851d8070fc6930e2d62db8d049b98028419c6	c92851d8	patch-equivalent	fc2d6ea4ab3c9448115c02536a525c200c98e152	git patch-id
refs/heads/worker/lean-B0-015-20260908;refs/remotes/origin/worker/lean-B0-015-20260908	c98cbd953db32860fdc09ae11d2a418bb2a6a201	c98cbd95	integrated-now	ca01ee13	dead state governance API had no remaining repository callers
refs/heads/worker/lean-B0-016-20260908;refs/remotes/origin/worker/lean-B0-016-20260908	1bc3e6edfdf317f6e14430adee9fcc701586d225	1bc3e6ed	superseded-by-current-code	current context blob-noise callers/tests	feature is still used by command_output and critical_blob tests
refs/heads/worker/lean-B0-017-private-20260908;refs/remotes/origin/worker/lean-B0-017-private-20260908	932863af258ef278e37bdc70027804717c8ddbcd	932863af	superseded-by-current-code	4e8a0378	later alias cleanup evolved the same surface
refs/heads/worker/lean-B0-019-20260908;refs/remotes/origin/worker/lean-B0-019-20260908	e3f947b3a1a091ffe96bc8f4492fd96f6b02973d	e3f947b3	patch-equivalent	e45887b535f9615d5cad9b55412bf5bfa097c71b	git patch-id
refs/heads/worker/lean-B0-023-20260908;refs/remotes/origin/worker/lean-B0-023-20260908	8b67b084ba6675d24d05e60c46258882ddde7854	8b67b084	patch-equivalent	1738f124afb51f089c9592aaa713ef468346b60e	git patch-id
